Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1673.983987286065
FDW14,OUT017,1349.5129043321303
NCN55,OUT010,471.30684669117693
FDQ58,OUT017,2432.662580732175
FDY38,OUT027,5041.821497446808
FDH56,OUT046,2098.8033575757568
FDL48,OUT018,790.3307954098356
FDC48,OUT027,2846.400822516556
FDN33,OUT045,1559.9736407643313
FDA36,OUT017,3190.643467582415
FDT44,OUT017,1935.5041133829002
FDQ56,OUT045,1349.5129043321303
NCC54,OUT019,471.30684669117693
FDU11,OUT049,2098.8033575757568
DRL59,OUT013,790.3307954098356
FDM24,OUT049,2432.662580732175
FDI57,OUT045,3011.525299159663
DRC12,OUT018,3011.525299159663
NCM42,OUT027,2846.400822516556
FDA46,OUT010,471.30684669117693
FDA31,OUT013,2843.5697892156873
NCJ31,OUT035,3845.4916739549826
FDG52,OUT046,790.3307954098356
NCL19,OUT019,207.13050352504646
FDS10,OUT035,3190.643467582415
FDX22,OUT010,471.30684669117693
NCF19,OUT035,790.3307954098356
NCE06,OUT046,2633.8398439024395
DRC27,OUT046,3594.1398616113747
FDE21,OUT035,1935.5041133829002
NCR42,OUT019,207.13050352504646
FDX51,OUT018,3011.525299159663
NCR06,OUT018,646.088815789474
FDU31,OUT027,5041.821497446808
FDU59,OUT017,2633.8398439024395
FDR03,OUT027,5041.821497446808
FDS49,OUT027,2846.400822516556
FDD48,OUT010,207.13050352504646
NCF18,OUT017,3011.525299159663
NCD43,OUT027,2846.400822516556
NCD54,OUT018,1935.5041133829002
FDY19,OUT010,207.13050352504646
NCY54,OUT017,2843.5697892156873
NCL19,OUT018,2432.662580732175
FDP23,OUT010,471.30684669117693
FDC26,OUT013,1673.983987286065
FDR14,OUT010,207.13050352504646
NCS41,OUT035,3190.643467582415
FDF41,OUT035,3845.4916739549826
FDU34,OUT046,2098.8033575757568
DRH11,OUT046,1068.5067658349315
FDM03,OUT013,1673.983987286065
FDS31,OUT017,3190.643467582415
FDJ20,OUT017,1935.5041133829002
FDV44,OUT027,5041.821497446808
FDG02,OUT049,3190.643467582415
FDA09,OUT013,2843.5697892156873
FDT04,OUT013,646.088815789474
FDL58,OUT019,471.30684669117693
FDE52,OUT045,1349.5129043321303
FDW12,OUT035,2432.662580732175
FDL51,OUT017,3845.4916739549826
NCY42,OUT027,2846.400822516556
FDR07,OUT017,1559.9736407643313
FDN40,OUT045,2432.662580732175
FDB35,OUT027,2846.400822516556
FDA22,OUT017,2633.8398439024395
NCL06,OUT046,4125.174474540683
