Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1847.8883329363725
FDW14,OUT017,1569.3403950676059
NCN55,OUT010,1875.61463945402
FDQ58,OUT017,2585.9069755168525
FDY38,OUT027,5184.487477251145
FDH56,OUT046,1924.3620775870122
FDL48,OUT018,600.9833054452943
FDC48,OUT027,2782.1132559615357
FDN33,OUT045,1510.61924242681
FDA36,OUT017,3083.530902446936
FDT44,OUT017,1996.4935037957152
FDQ56,OUT045,1311.665992354214
NCC54,OUT019,1857.1401681499046
FDU11,OUT049,2054.132023871646
DRL59,OUT013,893.7120228673782
FDM24,OUT049,2554.863191867501
FDI57,OUT045,3086.7148934163474
DRC12,OUT018,2763.2521365182197
NCM42,OUT027,3196.6908548906927
FDA46,OUT010,1135.5781857735515
FDA31,OUT013,2803.794870961022
NCJ31,OUT035,3883.41051577046
FDG52,OUT046,802.6761242147209
NCL19,OUT019,362.2863873297499
FDS10,OUT035,3022.3819582516303
FDX22,OUT010,1456.510577559508
NCF19,OUT035,923.3255886047084
NCE06,OUT046,2536.7756336803177
DRC27,OUT046,3851.525659735191
FDE21,OUT035,2026.5084885115252
NCR42,OUT019,-1361.4598884169397
FDX51,OUT018,2866.840828622948
NCR06,OUT018,427.6701335107814
FDU31,OUT027,4948.1604240878005
FDU59,OUT017,2711.8653998291147
FDR03,OUT027,4754.888792700405
FDS49,OUT027,2757.7772294257243
FDD48,OUT010,-72.83631751890982
NCF18,OUT017,3119.4869521110027
NCD43,OUT027,3101.437769827621
NCD54,OUT018,1993.622118289391
FDY19,OUT010,-35.80302287889447
NCY54,OUT017,2816.989368373547
NCL19,OUT018,2019.2352357306027
FDP23,OUT010,1530.463926569575
FDC26,OUT013,1823.1605600082044
FDR14,OUT010,-1029.5105777027934
NCS41,OUT035,3029.609080976777
FDF41,OUT035,4050.377825529785
FDU34,OUT046,2001.0302033223543
DRH11,OUT046,929.1679965484357
FDM03,OUT013,1738.4438392924253
FDS31,OUT017,3025.862761210309
FDJ20,OUT017,2100.9398818773743
FDV44,OUT027,4493.355610656383
FDG02,OUT049,3106.1972203150744
FDA09,OUT013,2910.7131479667137
FDT04,OUT013,679.3223878476126
FDL58,OUT019,2290.7918233386217
FDE52,OUT045,1443.6955288524002
FDW12,OUT035,2505.5498967295957
FDL51,OUT017,3553.474523891896
NCY42,OUT027,3691.9181328874574
FDR07,OUT017,1666.9851632822492
FDN40,OUT045,2362.7811334748367
FDB35,OUT027,2958.44533981678
FDA22,OUT017,2738.7375333481805
NCL06,OUT046,4114.821055993228
FDI35,OUT013,2915.9125213200305
NCW42,OUT045,3413.368374022211
NCX06,OUT049,2941.6454711707183
FDC37,OUT027,3200.68262637869
FDZ14,OUT018,1732.4719856665174
DRG49,OUT049,3955.685809104227
NCG06,OUT045,3958.0775430970025
DRC36,OUT045,2723.966122738233
FDV21,OUT019,60.21881177537597
FDB53,OUT046,2356.3961205963246
DRP47,OUT019,2039.8332139681324
FDA14,OUT013,2349.481235052678
DRC24,OUT035,2572.2755187354655
FDW21,OUT018,1403.2080747193959
NCH29,OUT046,1553.1657292193986
FDU58,OUT013,3075.6121785258883
FDY27,OUT017,2933.877835392903
FDV56,OUT035,1952.1774661272948
FDT59,OUT046,3657.2676248576777
FDB23,OUT046,3622.522061826783
FDR49,OUT045,695.4414437643347
FDB03,OUT010,1918.3390936471155
FDN39,OUT045,2616.306043603978
FDX02,OUT027,4983.582896980554
FDQ16,OUT027,3192.600302561402
FDU35,OUT018,1327.6730717507635
NCT29,OUT013,1963.2394058171662
FDZ27,OUT046,819.1008161875902
FDN57,OUT017,2350.3060414911474
FDA03,OUT018,2094.5300642558686
FDZ36,OUT045,2922.59752444361
NCU05,OUT013,1326.9202271403879
FDT39,OUT018,2187.946083230097
FDK60,OUT017,1711.2903167739405
FDZ25,OUT017,2846.6538552606053
FDG12,OUT046,2013.7818064989615
DRB01,OUT019,1114.4758354857302
NCC43,OUT027,5374.979662690158
FDX13,OUT019,2031.1828787317954
FDM22,OUT049,1029.6644628733936
FDJ03,OUT027,2311.06468992733
FDU14,OUT018,3675.772928547699
FDB33,OUT010,632.9948207792777
FDP27,OUT046,3014.135848795687
FDO38,OUT010,-668.5303267607138
FDE28,OUT027,5147.922292134026
FDO27,OUT035,1705.2848317114049
DRL23,OUT027,3171.1086768643686
FDS28,OUT046,968.5135952774315
FDX24,OUT013,1541.6376501519546
FDZ02,OUT035,1750.9754942529466
FDL46,OUT045,1813.8117593047696
FDS60,OUT027,4298.642367545859
NCO06,OUT017,640.614780858423
FDO16,OUT035,1531.4707915765923
FDC60,OUT049,1547.331767754755
FDA48,OUT018,3198.2866043685735
FDZ36,OUT027,4451.411196270605
FDK27,OUT045,1881.341181608042
FDW23,OUT018,383.56748524835666
FDM14,OUT018,1507.719153525753
FDM14,OUT013,1785.7660326437176
FDW60,OUT018,2601.722732943896
FDE21,OUT013,1911.603784417272
NCM42,OUT035,1885.801926403325
FDY59,OUT010,-385.53783344457827
DRI49,OUT049,1381.0444941044434
FDT28,OUT019,511.217046893363
FDQ22,OUT018,406.8957636214743
FDR60,OUT049,1334.0976026421633
FDC50,OUT019,-395.91442712069903
FDV24,OUT013,2444.2795282695333
DRF48,OUT010,1069.8988940310028
FDQ47,OUT046,648.8019125975791
DRN36,OUT049,1659.2758547983303
NCY06,OUT035,2177.6691773665552
FDE52,OUT035,1646.6940207925113
NCB54,OUT045,1941.7322504308577
NCF31,OUT035,2552.9849497413816
FDJ08,OUT027,4453.217113441907
NCC07,OUT017,1794.9000290247232
NCD19,OUT027,2329.9500500091317
FDL46,OUT049,2009.8534930243513
FDM20,OUT045,3827.756531523706
NCI06,OUT010,926.420312208179
DRM11,OUT035,4221.907301379232
NCH07,OUT018,2214.412723488741
FDS23,OUT013,2089.2436885962416
FDO49,OUT018,595.8223161180135
FDS35,OUT049,1163.1292586325453
DRK39,OUT045,1262.796636002976
DRI39,OUT049,1041.2598624559403
FDV04,OUT017,2645.172488516035
NCN14,OUT035,3010.5881094173455
FDH08,OUT013,3696.1557904736283
FDS20,OUT046,2909.595440096812
FDV40,OUT049,1341.3973567804094
FDZ48,OUT010,-142.9984686725967
FDS24,OUT027,2915.0893366224086
FDK44,OUT049,2857.8504372275356
FDS48,OUT045,2341.198770551662
FDK26,OUT010,1102.1238437498196
FDD23,OUT045,2970.9008308634266
NCH54,OUT017,2646.0146046220157
NCP14,OUT010,-246.14737488020558
FDM60,OUT010,-1198.0952131838949
FDV24,OUT017,2508.9345127555675
FDH08,OUT018,3352.7716965196028
FDS12,OUT027,3472.922279888509
FDR39,OUT027,4316.677452326438
FDP12,OUT027,2124.197834143522
DRF60,OUT027,5175.444620798998
FDC09,OUT035,1852.5936805181605
FDF50,OUT018,2861.104957064726
FDG28,OUT035,4043.709082877969
NCE19,OUT017,992.7397894715612
NCM53,OUT010,-198.70033840065673
NCN18,OUT049,1849.2694493469353
FDF32,OUT035,3301.682584703923
FDF11,OUT013,3867.7614757384617
DRI59,OUT049,3649.6932856661065
NCG54,OUT035,2810.063999330467
FDM44,OUT046,1644.7463302770407
FDT57,OUT018,3468.0331318980247
FDV24,OUT046,2403.9269413159027
FDI50,OUT019,1756.068507264939
FDS09,OUT035,1039.1501758796971
NCC31,OUT027,3897.054741477882
FDQ07,OUT019,1598.2508532925247
FDC22,OUT017,3174.6835527444186
FDZ56,OUT046,2702.9122763822347
FDZ40,OUT019,-994.2719896609312
FDS46,OUT027,3397.74897811131
DRD24,OUT045,2170.621004471654
FDV45,OUT017,3110.4343803364077
FDL26,OUT045,2414.006533004527
FDA56,OUT018,1709.5250001603
FDN27,OUT046,1904.1091487607719
FDM20,OUT049,3974.499564962127
FDO16,OUT017,1462.6759302833643
FDL03,OUT035,3297.2434159934583
FDE58,OUT046,1883.2183835335181
