Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1633.340036493887
FDW14,OUT017,1366.2355340008164
NCN55,OUT010,610.5423112511122
FDQ58,OUT017,2484.153177163282
FDY38,OUT027,6225.4529328090175
FDH56,OUT046,1955.6031180832856
FDL48,OUT018,756.752536685633
FDC48,OUT027,2188.590698846897
FDN33,OUT045,1514.0765371375574
FDA36,OUT017,3042.047200974322
FDT44,OUT017,1971.6040560882052
FDQ56,OUT045,1365.0519517856246
NCC54,OUT019,602.3454903520596
FDU11,OUT049,2024.3608061690527
DRL59,OUT013,782.6574000811918
FDM24,OUT049,2433.1708916568186
FDI57,OUT045,2986.1354428471714
DRC12,OUT018,2945.5361440097786
NCM42,OUT027,2901.724448963132
FDA46,OUT010,498.6114402387102
FDA31,OUT013,2866.24203375406
NCJ31,OUT035,3891.8762001844048
FDG52,OUT046,759.7001775955413
NCL19,OUT019,301.0766384862065
FDS10,OUT035,2984.2889975898765
FDX22,OUT010,538.4132770691899
NCF19,OUT035,759.7001775955413
NCE06,OUT046,2516.0838150452964
DRC27,OUT046,3941.411444999247
FDE21,OUT035,1964.6624286847998
NCR42,OUT019,91.51312051658209
FDX51,OUT018,2987.4195311208914
NCR06,OUT018,611.6046341077318
FDU31,OUT027,5583.271437283103
FDU59,OUT017,2507.31285890581
FDR03,OUT027,5566.447159959244
FDS49,OUT027,2204.594194743514
FDD48,OUT010,249.5042528375756
NCF18,OUT017,3032.445271416262
NCD43,OUT027,2569.7515020311066
NCD54,OUT018,2039.6733055184723
FDY19,OUT010,260.2568090388654
NCY54,OUT017,2864.8906916315505
NCL19,OUT018,2425.261336560668
FDP23,OUT010,540.5098391651878
FDC26,OUT013,1786.0337162476646
FDR14,OUT010,163.18967099264538
NCS41,OUT035,3117.5748607546493
FDF41,OUT035,3928.617247002899
FDU34,OUT046,2049.1936161458357
DRH11,OUT046,849.4677241778282
FDM03,OUT013,1635.5630234097919
FDS31,OUT017,3060.38871232634
FDJ20,OUT017,2028.1076081673953
FDV44,OUT027,5134.748477377587
FDG02,OUT049,3079.245121084902
FDA09,OUT013,2990.2062629486927
FDT04,OUT013,609.5825667046006
FDL58,OUT019,583.3917768905476
FDE52,OUT045,1391.465578200578
FDW12,OUT035,2484.236998636478
FDL51,OUT017,3712.7280178436013
NCY42,OUT027,3342.036711805288
FDR07,OUT017,1537.7764781820024
FDN40,OUT045,2453.872552705169
FDB35,OUT027,2510.4012788277173
FDA22,OUT017,2518.727459417683
NCL06,OUT046,4144.769247213216
FDI35,OUT013,3054.951286778609
NCW42,OUT045,3742.1501579604646
NCX06,OUT049,2971.127502438569
FDC37,OUT027,2558.891844970419
FDZ14,OUT018,1882.7318766616038
DRG49,OUT049,3950.35903675787
NCG06,OUT045,4080.109385587593
DRC36,OUT045,2885.543032549594
FDV21,OUT019,297.93820988733097
FDB53,OUT046,2506.2048765840195
DRP47,OUT019,603.7031927962856
FDA14,OUT013,2496.5081571564315
DRC24,OUT035,2551.4650687118424
FDW21,OUT018,1589.8399374393257
NCH29,OUT046,1542.4575877994512
FDU58,OUT013,3095.4668951226927
FDY27,OUT017,2884.929609094565
FDV56,OUT035,1646.505176110218
FDT59,OUT046,3855.1279259317103
FDB23,OUT046,3773.8651982952247
FDR49,OUT045,759.7001775955413
FDB03,OUT010,609.0710617080542
FDN39,OUT045,2599.3314026153084
FDX02,OUT027,5787.769018329402
FDQ16,OUT027,2560.982635799525
FDU35,OUT018,1525.3052805039185
NCT29,OUT013,2024.3060267386436
FDZ27,OUT046,759.7001775955413
FDN57,OUT017,2063.6460774908387
FDA03,OUT018,2402.9677781445425
FDZ36,OUT045,3082.705310645657
NCU05,OUT013,1342.6061436184814
FDT39,OUT018,2361.623521539827
FDK60,OUT017,1537.7764781820024
FDZ25,OUT017,2827.2399114578266
FDG12,OUT046,2047.9565515065233
DRB01,OUT019,493.9076861046203
NCC43,OUT027,6205.767566809373
FDX13,OUT019,579.2927313708432
FDM22,OUT049,805.8316971909684
FDJ03,OUT027,1246.4641807898527
FDU14,OUT018,3643.8164482112998
FDB33,OUT010,382.73683786630215
FDP27,OUT046,3095.505722219823
FDO38,OUT010,179.90196868911138
FDE28,OUT027,6187.934736835239
FDO27,OUT035,1514.0765371375574
DRL23,OUT027,2556.8318177198926
FDS28,OUT046,849.4677241778282
FDX24,OUT013,1446.6320230583626
FDZ02,OUT035,1534.7953812105998
FDL46,OUT045,1934.196453096204
FDS60,OUT027,4873.46307292598
NCO06,OUT017,595.1351551746075
FDO16,OUT035,1358.9783420292101
FDC60,OUT049,1366.76844798433
FDA48,OUT018,3274.8084659019933
